DISENO;Gramaje ;PLANTA;GAP LO(mm);GAP LT(mm); TEMPERATURA HORNO 1(C); TEMPERATURA HORNO 2(C); TEMPERATURA HORNO 3(C); TEMPERATURA HORNO 4(C); TEMPERATURA HORNO 5(C); TEMPERATURA HORNO 6(C);VELOCIDAD VENTILADOR HORNO 1(rpm);VELOCIDAD VENTILADOR HORNO 2(rpm);VELOCIDAD VENTILADOR HORNO 3(rpm);VELOCIDAD VENTILADOR HORNO 4 (rpm);VELOCIDAD VENTILADOR HORNO 5 (rpm);VELOCIDAD VENTILADOR HORNO 6 (rpm); VELOCIDAD DE LA LINEA m/min;PESO IMPREGNADO LO1;PESO IMPREGNADO LC;PESO IMPREGNADO LT1;VOLATILES LO2;VOLATILES LC2; VOLATILES LT2;FLUIDEZ;ESTADO B LO3;ESTADO B LC3;ESTADO B LT3
Tabacco;65;BP1;0,101;0,107;138;138;138;219;224;140;1250;1250;1250;1300;1200;1100;33;171,5;166;168,5;6,9;5,5;6,1;5;20,4;60,9;41,1
Tabacco;65;BP1;0,101;0,107;138;138;138;219;224;140;1250;1250;1250;1300;1200;1100;33;171,1;166,8;168,4;6,5;5,3;5,8;3,9;24,6;43,8;38,9
Tabacco;65;BP1;0,101;0,107;138;138;138;219;224;140;1250;1250;1250;1300;1200;1100;33;168,2;164;165,6;6,5;4,9;5,9;3,7;29;22,2;37,4
Tabacco;65;BP1;0,101;0,107;138;138;138;219;224;140;1250;1250;1250;1300;1200;1100;33;-;-;-;-;-;-;-;-;-;-
Capuccino;65;BP1;0,101;0,107;138;138;138;219;224;140;1250;1250;1250;1300;1200;1100;33;166,9;164,5;167,8;6,7;4,9;6;3,4;24,5;60,7;31
Capuccino;65;BP1;0,101;0,107;138;138;138;219;224;140;1250;1250;1250;1300;1200;1100;33;164,6;162,5;164,2;5,7;4,7;5,4;2,8;22,7;56,4;30,9
Capuccino;65;BP1;0,101;0,107;138;138;138;219;224;140;1250;1250;1250;1300;1200;1100;33;165,8;163,7;162,4;5,5;5;5,7;2,5;28,8;62,7;28,1
Capuccino;65;BP1;0,101;0,107;138;138;138;219;224;140;1250;1250;1250;1300;1200;1100;33;162,7;160,1;162,1;5,8;4,8;5,6;4,7;18,2;49,7;25,4
Capuccino;65;BP1;0,101;0,107;135;135;135;215;220;136;1250;1250;1250;1300;1200;1100;33;164,2;163,3;164,5;6;5,1;5,8;4,6;21,3;33,6;21,9
Capuccino;65;BP1;0,101;0,107;135;135;135;215;220;136;1250;1250;1250;1300;1200;1100;33;163;160,1;163,8;5,7;5,1;5,4;3,2;24,8;54,3;31,1
Capuccino;65;BP1;0,101;0,107;135;135;135;213;217;136;1250;1250;1250;1300;1200;1100;33;164;163,6;168,1;6;5,3;6,2;4,8;17,3;38,5;18,2
Capuccino;65;BP1;0,101;0,107;135;135;135;213;217;136;1250;1250;1250;1300;1200;1100;33;164;163,6;168,1;6;5,3;6,2;4,8;17,3;38,5;18,2
Capuccino;65;BP1;0,101;0,107;135;135;135;216;220;136;1250;1250;1250;1300;1200;1100;33;164,8;163;164,7;6,7;5,5;6;5;13,7;34,6;17
Capuccino;65;BP1;0,101;0,107;135;135;135;216;220;136;1250;1250;1250;1300;1200;1100;33;164,8;163;164,7;6,7;5,5;6;5;13,7;34,6;17
Capuccino;65;BP1;0,101;0,107;134;134;134;217;221;136;1250;1250;1250;1300;1200;1100;33;163,5;163,9;166,6;6,6;5,6;7;4,6;22,6;45,6;26,64
